index,period,frame_start,frame_end,minute,second,t_min,duration,team,team_name,phase_type,third_start,third_end,x_start,x_end,pen_area_end,is_shot,is_goal,xt_start,xt_end,xt_gain,signed,moment
38,1,4210,4246,7,0,7.0,3.6,Home,Brisbane,direct,middle_third,attacking_third,-8.59,25.47,False,False,False,0.00913,0.00397,-0.00516,-0.00516,
39,1,4399,4546,7,18,7.3,14.7,Home,Brisbane,finish,attacking_third,attacking_third,27.26,47.65,False,False,False,0.00159,0.0,-0.00159,-0.00159,
40,1,4546,4581,7,33,7.55,3.5,Away,Perth,chaotic,defensive_third,defensive_third,-47.91,-46.92,False,False,False,0.0,0.00055,0.00055,-0.00055,
41,1,4641,4693,7,43,7.717,5.2,Home,Brisbane,finish,attacking_third,middle_third,31.9,5.98,False,False,False,0.00149,0.00682,0.00533,0.00533,
42,1,4693,4715,7,48,7.8,2.2,Home,Brisbane,create,middle_third,middle_third,5.38,4.53,False,False,False,0.0067,0.00677,8e-05,8e-05,
43,1,4715,4747,7,50,7.833,3.2,Home,Brisbane,finish,middle_third,middle_third,5.41,5.79,False,False,False,0.00697,0.00634,-0.00063,-0.00063,
44,1,4747,4770,7,53,7.883,2.3,Home,Brisbane,create,middle_third,middle_third,5.37,9.06,False,False,False,0.00807,0.00834,0.00028,0.00028,
45,1,4770,4900,7,56,7.933,13.0,Home,Brisbane,finish,middle_third,attacking_third,10.55,27.46,False,False,False,0.00544,0.00265,-0.00279,-0.00279,
46,1,4900,5022,8,9,8.15,12.2,Away,Perth,build_up,defensive_third,defensive_third,-27.96,-33.58,False,False,False,0.00286,0.00197,-0.0009,0.0009,
47,1,5110,5181,8,30,8.5,7.1,Home,Brisbane,build_up,defensive_third,defensive_third,-26.51,-20.27,False,False,False,0.01677,0.01608,-0.00069,-0.00069,
48,1,5181,5428,8,37,8.617,24.7,Home,Brisbane,create,defensive_third,middle_third,-19.47,15.09,False,False,False,0.01637,0.00281,-0.01356,-0.01356,
49,1,5428,5439,9,1,9.017,1.1,Home,Brisbane,finish,middle_third,attacking_third,15.58,20.18,False,False,False,0.00352,0.00362,0.0001,0.0001,
50,1,5439,5549,9,2,9.033,11.0,Away,Perth,transition,defensive_third,attacking_third,-20.13,29.23,False,False,False,0.00414,0.02399,0.01985,-0.01985,
51,1,5549,5576,9,13,9.217,2.7,Home,Brisbane,chaotic,defensive_third,defensive_third,-29.1,-18.15,False,False,False,0.01622,0.00994,-0.00628,-0.00628,
52,1,5576,5660,9,16,9.267,8.4,Away,Perth,finish,attacking_third,attacking_third,18.4,40.3,True,True,False,0.01405,0.06373,0.04968,-0.04968,pinch
53,1,5660,5669,9,25,9.417,0.9,Home,Brisbane,chaotic,defensive_third,defensive_third,-40.32,-39.46,False,False,False,0.0,0.19503,0.19503,0.19503,
54,1,5669,5706,9,25,9.417,3.7,Home,Brisbane,direct,defensive_third,middle_third,-38.61,0.98,False,False,False,0.19503,0.0076,-0.18743,-0.18743,
55,1,5706,5826,9,29,9.483,12.0,Away,Perth,create,middle_third,middle_third,-1.71,14.42,False,False,False,0.00753,0.01351,0.00598,-0.00598,
56,1,5826,6035,9,41,9.683,20.9,Home,Brisbane,create,middle_third,attacking_third,-14.8,17.58,False,False,False,0.00992,0.00327,-0.00665,-0.00665,
57,1,6035,6051,10,2,10.033,1.6,Away,Perth,chaotic,defensive_third,middle_third,-17.7,-9.21,False,False,False,0.00306,0.00582,0.00276,-0.00276,
58,1,6051,6193,10,4,10.067,14.2,Home,Brisbane,create,middle_third,middle_third,8.62,4.74,False,False,False,0.00577,0.0069,0.00113,0.00113,
59,1,6193,6240,10,18,10.3,4.7,Away,Perth,transition,middle_third,attacking_third,-4.31,22.73,False,False,False,0.00552,0.01552,0.01,-0.01,
60,1,6407,6438,10,39,10.65,3.1,Away,Perth,finish,attacking_third,middle_third,20.49,5.79,False,False,False,0.00988,0.00668,-0.0032,0.0032,
61,1,6438,6513,10,42,10.7,7.5,Away,Perth,create,middle_third,middle_third,5.29,9.01,False,False,False,0.00534,0.00799,0.00264,-0.00264,
62,1,6513,6544,10,50,10.833,3.1,Away,Perth,finish,middle_third,middle_third,8.91,5.41,False,False,False,0.00875,0.00893,0.00018,-0.00018,
63,1,6544,6640,10,53,10.883,9.6,Away,Perth,create,middle_third,defensive_third,4.3,-19.19,False,False,False,0.00788,0.00439,-0.00349,0.00349,
64,1,6640,6685,11,3,11.05,4.5,Away,Perth,build_up,defensive_third,defensive_third,-20.13,-20.76,False,False,False,0.00388,0.00368,-0.0002,0.0002,
65,1,6685,6715,11,7,11.117,3.0,Away,Perth,create,defensive_third,middle_third,-19.89,4.57,False,False,False,0.00656,0.00902,0.00247,-0.00247,
66,1,6715,6764,11,10,11.167,4.9,Home,Brisbane,chaotic,middle_third,defensive_third,-4.91,-38.57,False,False,False,0.00958,0.01478,0.0052,0.0052,
67,1,6915,6956,11,30,11.5,4.1,Away,Perth,finish,attacking_third,attacking_third,31.31,41.79,True,False,False,0.02093,0.04273,0.0218,-0.0218,
68,1,6956,7013,11,34,11.567,5.7,Home,Brisbane,chaotic,defensive_third,defensive_third,-41.45,-32.23,False,False,False,0.1352,0.08141,-0.05378,-0.05378,
69,1,7013,7105,11,40,11.667,9.2,Away,Perth,finish,attacking_third,attacking_third,32.2,42.6,True,False,False,0.00796,0.0,-0.00796,0.00796,
70,1,7105,7148,11,49,11.817,4.3,Home,Brisbane,chaotic,defensive_third,defensive_third,-42.71,-19.91,False,False,False,0.25314,0.01203,-0.24111,-0.24111,
71,1,7148,7313,11,53,11.883,16.5,Away,Perth,create,attacking_third,defensive_third,18.85,-19.33,False,False,False,0.01651,0.00475,-0.01176,0.01176,
72,1,7313,7337,12,10,12.167,2.4,Away,Perth,build_up,defensive_third,defensive_third,-20.57,-29.39,False,False,False,0.00378,0.0028,-0.00098,0.00098,
73,1,7337,7389,12,12,12.2,5.2,Away,Perth,chaotic,defensive_third,attacking_third,-29.06,26.68,False,False,False,0.0028,0.01833,0.01553,-0.01553,
74,1,7389,7550,12,17,12.283,16.1,Home,Brisbane,build_up,defensive_third,defensive_third,-27.15,-20.11,False,False,False,0.03834,0.01583,-0.02251,-0.02251,
75,1,7550,7576,12,34,12.567,2.6,Home,Brisbane,create,defensive_third,middle_third,-18.21,-12.33,False,False,False,0.01746,0.01234,-0.00512,-0.00512,
76,1,7576,7601,12,36,12.6,2.5,Away,Perth,chaotic,middle_third,middle_third,12.41,16.19,False,False,False,0.01175,0.01539,0.00364,-0.00364,
77,1,8248,8286,13,43,13.717,3.8,Away,Perth,finish,attacking_third,attacking_third,19.81,56.91,False,False,False,0.01299,0.0,-0.01299,0.01299,
78,1,8474,8500,14,6,14.1,2.6,Home,Brisbane,build_up,middle_third,defensive_third,,-48.24,False,False,False,0.0,0.00752,0.00752,0.00752,
79,1,8500,8527,14,9,14.15,2.7,Home,Brisbane,direct,defensive_third,middle_third,-47.19,3.67,False,False,False,0.00871,0.00533,-0.00338,-0.00338,
80,1,8527,8587,14,11,14.183,6.0,Home,Brisbane,create,middle_third,middle_third,3.75,11.93,False,False,False,0.00533,0.00484,-0.00049,-0.00049,
81,1,8587,8621,14,17,14.283,3.4,Away,Perth,create,middle_third,defensive_third,-12.12,-19.65,False,False,False,0.00402,0.00293,-0.00108,0.00108,
82,1,8621,8762,14,21,14.35,14.1,Away,Perth,build_up,defensive_third,defensive_third,-21.34,-24.53,False,False,False,0.00313,0.00375,0.00063,-0.00063,
83,1,8762,8895,14,35,14.583,13.3,Home,Brisbane,quick_break,attacking_third,attacking_third,23.26,44.75,False,False,False,0.00299,0.00062,-0.00237,-0.00237,
84,1,8895,9100,14,48,14.8,20.5,Home,Brisbane,finish,attacking_third,attacking_third,44.17,36.71,True,False,False,0.00081,0.00237,0.00156,0.00156,
85,1,9100,9162,15,9,15.15,6.2,Away,Perth,build_up,defensive_third,defensive_third,-37.69,-20.18,False,False,False,0.0025,0.00405,0.00155,-0.00155,
86,1,9162,9236,15,15,15.25,7.4,Away,Perth,create,defensive_third,defensive_third,-19.59,-19.32,False,False,False,0.00386,0.00384,-1e-05,1e-05,
87,1,9236,9349,15,22,15.367,11.3,Away,Perth,build_up,defensive_third,defensive_third,-20.48,-20.71,False,False,False,0.00367,0.0033,-0.00037,0.00037,
88,1,9349,9417,15,33,15.55,6.8,Away,Perth,create,defensive_third,attacking_third,-18.38,19.69,False,False,False,0.00351,0.01372,0.01021,-0.01021,
89,1,9417,9533,15,40,15.667,11.6,Away,Perth,finish,attacking_third,attacking_third,20.35,38.77,True,False,False,0.01372,0.0284,0.01468,-0.01468,
90,1,9533,9535,15,52,15.867,0.2,Home,Brisbane,chaotic,defensive_third,defensive_third,-38.56,-38.43,False,False,False,0.00642,0.01474,0.00831,0.00831,
91,1,10002,10018,16,39,16.65,1.6,Home,Brisbane,chaotic,defensive_third,middle_third,-24.94,-9.35,False,False,False,0.01822,0.00823,-0.00999,-0.00999,
92,1,10018,10036,16,40,16.667,1.8,Away,Perth,chaotic,middle_third,middle_third,9.96,16.58,False,False,False,0.00699,0.01219,0.00519,-0.00519,
93,1,10036,10054,16,42,16.7,1.8,Home,Brisbane,chaotic,middle_third,middle_third,-16.21,-8.61,False,False,False,0.01393,0.00927,-0.00466,-0.00466,
94,1,10207,10437,16,59,16.983,23.0,Home,Brisbane,create,middle_third,defensive_third,-6.44,-19.91,False,False,False,0.01258,0.01418,0.0016,0.0016,
95,1,10437,10504,17,22,17.367,6.7,Home,Brisbane,build_up,defensive_third,defensive_third,-20.73,-20.22,False,False,False,0.03151,0.01142,-0.02009,-0.02009,
96,1,10504,10593,17,29,17.483,8.9,Home,Brisbane,create,defensive_third,middle_third,-19.55,16.87,False,False,False,0.01142,0.00715,-0.00427,-0.00427,
97,1,10593,10644,17,38,17.633,5.1,Home,Brisbane,finish,attacking_third,attacking_third,17.59,46.68,True,False,False,0.00473,0.00214,-0.00259,-0.00259,
98,1,11050,11087,18,24,18.4,3.7,Away,Perth,direct,middle_third,middle_third,,16.82,False,False,False,0.0,0.01167,0.01167,-0.01167,
99,1,11087,11109,18,27,18.45,2.2,Home,Brisbane,chaotic,middle_third,middle_third,-17.41,-15.03,False,False,False,0.01175,0.01138,-0.00038,-0.00038,
100,1,11109,11182,18,29,18.483,7.3,Away,Perth,chaotic,middle_third,attacking_third,14.92,50.95,True,False,False,0.01345,1.0,0.98655,-0.98655,
101,1,11598,11656,19,18,19.3,5.8,Home,Brisbane,direct,middle_third,middle_third,,4.94,False,False,False,0.0,0.00626,0.00626,0.00626,
102,1,11656,11670,19,24,19.4,1.4,Away,Perth,chaotic,middle_third,middle_third,-4.4,4.2,False,False,False,0.00509,0.0054,0.00032,-0.00032,
103,1,11670,11689,19,26,19.433,1.9,Home,Brisbane,chaotic,middle_third,middle_third,-4.94,8.05,False,False,False,0.00772,0.00591,-0.00181,-0.00181,
104,1,11689,11707,19,27,19.45,1.8,Away,Perth,chaotic,middle_third,middle_third,-8.32,12.87,False,False,False,0.00474,0.01101,0.00627,-0.00627,
105,1,11707,11727,19,29,19.483,2.0,Home,Brisbane,chaotic,middle_third,middle_third,-12.71,-3.66,False,False,False,0.01155,0.00827,-0.00328,-0.00328,
106,1,11832,11863,19,42,19.7,3.1,Home,Brisbane,direct,middle_third,attacking_third,-8.6,27.7,False,False,False,0.01097,0.00283,-0.00815,-0.00815,
107,1,11863,11877,19,45,19.75,1.4,Away,Perth,build_up,defensive_third,defensive_third,-27.82,-20.23,False,False,False,0.00382,0.00404,0.00022,-0.00022,
108,1,11877,11895,19,46,19.767,1.8,Away,Perth,create,defensive_third,defensive_third,-19.98,-19.81,False,False,False,0.00404,0.00419,0.00015,-0.00015,
109,1,11895,12034,19,48,19.8,13.9,Away,Perth,build_up,defensive_third,defensive_third,-20.05,-21.16,False,False,False,0.00419,0.00339,-0.0008,0.0008,
110,1,12034,12044,20,2,20.033,1.0,Away,Perth,create,defensive_third,middle_third,-19.96,-10.39,False,False,False,0.00378,0.00657,0.00279,-0.00279,
111,1,12044,12074,20,3,20.05,3.0,Home,Brisbane,chaotic,middle_third,attacking_third,10.08,24.95,False,False,False,0.0052,0.00348,-0.00172,-0.00172,
112,1,12074,12090,20,6,20.1,1.6,Away,Perth,build_up,defensive_third,defensive_third,-25.32,-20.12,False,False,False,0.00292,0.00506,0.00214,-0.00214,
113,1,12090,12181,20,8,20.133,9.1,Away,Perth,create,defensive_third,middle_third,-19.89,14.9,False,False,False,0.0038,0.01366,0.00986,-0.00986,
114,1,12181,12249,20,17,20.283,6.8,Home,Brisbane,create,middle_third,middle_third,-15.19,4.8,False,False,False,0.01195,0.0067,-0.00526,-0.00526,
115,1,12249,12340,20,23,20.383,9.1,Away,Perth,create,middle_third,middle_third,-4.53,8.8,False,False,False,0.00807,0.01006,0.002,-0.002,
116,1,12340,12392,20,33,20.55,5.2,Away,Perth,finish,middle_third,middle_third,8.73,5.53,False,False,False,0.01006,0.01016,0.0001,-0.0001,
117,1,12392,12565,20,38,20.633,17.3,Away,Perth,create,middle_third,middle_third,4.3,14.91,False,False,False,0.00743,0.01378,0.00635,-0.00635,
118,1,12616,12754,21,0,21.0,13.8,Away,Perth,create,middle_third,defensive_third,11.33,-19.28,False,False,False,0.00822,0.00271,-0.00551,0.00551,
119,1,12754,12818,21,14,21.233,6.4,Away,Perth,build_up,defensive_third,defensive_third,-20.77,-21.0,False,False,False,0.00281,0.00396,0.00115,-0.00115,
120,1,12818,12819,21,20,21.333,0.1,Away,Perth,create,defensive_third,defensive_third,-19.37,-19.37,False,False,False,0.00423,0.00423,0.0,-0.0,
121,1,12891,13060,21,28,21.467,16.9,Home,Brisbane,create,middle_third,defensive_third,-7.88,-19.99,False,False,False,0.00871,0.01469,0.00598,0.00598,
122,1,13060,13138,21,45,21.75,7.8,Home,Brisbane,build_up,defensive_third,defensive_third,-20.16,-20.89,False,False,False,0.01469,0.01342,-0.00127,-0.00127,
