Frame,Time,Ball_X,Ball_Y,Ball_GridID,Ball_xT,Home_P1_X,Home_P1_Y,Home_P1_GridID,Home_P1_xT,Home_P2_X,Home_P2_Y,Home_P2_GridID,Home_P2_xT,Home_P3_X,Home_P3_Y,Home_P3_GridID,Home_P3_xT,Home_P4_X,Home_P4_Y,Home_P4_GridID,Home_P4_xT,Home_P5_X,Home_P5_Y,Home_P5_GridID,Home_P5_xT,Home_P6_X,Home_P6_Y,Home_P6_GridID,Home_P6_xT,Home_P7_X,Home_P7_Y,Home_P7_GridID,Home_P7_xT,Home_P8_X,Home_P8_Y,Home_P8_GridID,Home_P8_xT,Home_P9_X,Home_P9_Y,Home_P9_GridID,Home_P9_xT,Home_P10_X,Home_P10_Y,Home_P10_GridID,Home_P10_xT,Home_P11_X,Home_P11_Y,Home_P11_GridID,Home_P11_xT,Away_P1_X,Away_P1_Y,Away_P1_GridID,Away_P1_xT,Away_P2_X,Away_P2_Y,Away_P2_GridID,Away_P2_xT,Away_P3_X,Away_P3_Y,Away_P3_GridID,Away_P3_xT,Away_P4_X,Away_P4_Y,Away_P4_GridID,Away_P4_xT,Away_P5_X,Away_P5_Y,Away_P5_GridID,Away_P5_xT,Away_P6_X,Away_P6_Y,Away_P6_GridID,Away_P6_xT,Away_P7_X,Away_P7_Y,Away_P7_GridID,Away_P7_xT,Away_P8_X,Away_P8_Y,Away_P8_GridID,Away_P8_xT,Away_P9_X,Away_P9_Y,Away_P9_GridID,Away_P9_xT,Away_P10_X,Away_P10_Y,Away_P10_GridID,Away_P10_xT,Away_P11_X,Away_P11_Y,Away_P11_GridID,Away_P11_xT,Home_MAX_xT,Home_SUM_xT,Away_MAX_xT,Away_SUM_xT
11,1.1,0.6441,1.03662,7103,0.01172,0.132,0.59632,4214,0.00192,0.41914,0.66574,4770,0.00724,0.35886,0.63206,4448,0.00495,0.358,0.86647,6128,0.00408,0.67571,0.69485,5006,0.01441,0.61324,0.52015,3740,0.01253,0.42457,0.36897,2670,0.00658,0.45724,0.97485,6979,0.00778,0.556,0.93206,6674,0.00569,0.48895,0.87632,6247,0.00808,0.61695,0.82868,5945,0.01048,0.65571,0.41588,3009,0.00412,0.59724,0.88471,6363,0.00905,0.38543,0.53985,3821,0.01179,0.61181,0.65235,4685,0.00602,0.91143,0.64088,4611,0.0017,0.38981,0.83221,5921,0.01048,0.456,0.96559,6873,0.00639,0.61695,1.07206,7100,0.00371,0.75371,0.895,6380,0.00231,0.52029,0.42926,3100,0.00722,0.72933,0.58471,4172,0.00626,0.01441,0.08374,0.01179,0.06905
12,1.2,0.64362,1.03515,7103,0.01172,0.13162,0.59662,4214,0.00192,0.41914,0.66779,4770,0.00724,0.35895,0.63441,4553,0.00669,0.358,0.86721,6128,0.00408,0.67524,0.69632,5006,0.01441,0.61305,0.52309,3740,0.01253,0.42352,0.37221,2670,0.00658,0.45457,0.97456,6978,0.00487,0.55457,0.93353,6674,0.00569,0.48838,0.87662,6247,0.00808,0.61657,0.83206,5945,0.01048,0.65543,0.41647,3009,0.00412,0.59676,0.88647,6363,0.00905,0.38514,0.54118,3821,0.01179,0.61171,0.65324,4685,0.00602,0.91143,0.64191,4611,0.0017,0.38924,0.83353,5921,0.01048,0.45467,0.96588,6873,0.00639,0.61609,1.07132,7100,0.00371,0.75362,0.89779,6485,0.00228,0.51971,0.42985,3100,0.00722,0.72952,0.58603,4172,0.00626,0.01441,0.08257,0.01179,0.06902
13,1.3,0.64333,1.03382,7103,0.01172,0.13143,0.59691,4214,0.00192,0.41914,0.66985,4770,0.00724,0.35905,0.63676,4553,0.00669,0.3581,0.86779,6233,0.00281,0.67476,0.69794,5006,0.01441,0.61286,0.52618,3740,0.01253,0.42257,0.37559,2670,0.00658,0.4521,0.97426,6978,0.00487,0.55324,0.935,6674,0.00569,0.48771,0.87676,6247,0.00808,0.61619,0.83529,5945,0.01048,0.65514,0.41691,3009,0.00412,0.59638,0.88838,6363,0.00905,0.38486,0.54235,3821,0.01179,0.61162,0.65397,4685,0.00602,0.91133,0.64294,4611,0.0017,0.38876,0.83485,5921,0.01048,0.45352,0.96632,6873,0.00639,0.61533,1.07044,7100,0.00371,0.75343,0.90059,6485,0.00228,0.51905,0.43059,3100,0.00722,0.72962,0.58721,4172,0.00626,0.01441,0.0813,0.01179,0.06902
14,1.4,0.64314,1.0325,7103,0.01172,0.13114,0.59706,4214,0.00192,0.41914,0.67191,4770,0.00724,0.35914,0.63912,4553,0.00669,0.3581,0.86838,6233,0.00281,0.67429,0.69941,5006,0.01441,0.61267,0.52926,3740,0.01253,0.42152,0.37897,2670,0.00658,0.44962,0.97397,6978,0.00487,0.552,0.93632,6673,0.00534,0.48705,0.87691,6247,0.00808,0.6159,0.83838,6050,0.00874,0.65486,0.41735,3009,0.00412,0.596,0.89015,6363,0.00905,0.38457,0.54353,3821,0.01179,0.61162,0.65485,4685,0.00602,0.91133,0.64397,4611,0.0017,0.38829,0.83603,5921,0.01048,0.45229,0.96662,6873,0.00639,0.61457,1.06956,7100,0.00371,0.75333,0.90338,6485,0.00228,0.51857,0.43118,3100,0.00722,0.72981,0.58853,4277,0.00441,0.01441,0.07921,0.01179,0.06717
15,1.5,0.64314,1.03103,7103,0.01172,0.13095,0.59721,4214,0.00192,0.41924,0.67397,4770,0.00724,0.35933,0.64147,4553,0.00669,0.35819,0.86882,6233,0.00281,0.67381,0.70088,5006,0.01441,0.61248,0.53221,3845,0.01179,0.42067,0.38235,2775,0.00656,0.44724,0.97368,6977,0.00515,0.55086,0.93765,6673,0.00534,0.48648,0.87706,6247,0.00808,0.61552,0.84132,6050,0.00874,0.65467,0.41794,3009,0.00412,0.59562,0.89191,6363,0.00905,0.38438,0.54471,3926,0.01091,0.61152,0.65574,4685,0.00602,0.91124,0.645,4611,0.0017,0.38781,0.83735,5921,0.01048,0.45124,0.96691,6873,0.00639,0.61381,1.06853,7100,0.00371,0.75324,0.90588,6485,0.00228,0.518,0.43191,3100,0.00722,0.7299,0.58971,4277,0.00441,0.01441,0.07873,0.01091,0.06629
16,1.6,0.64324,1.02956,7103,0.01172,0.13076,0.5975,4214,0.00192,0.41943,0.67603,4770,0.00724,0.35962,0.64368,4553,0.00669,0.35838,0.86926,6233,0.00281,0.67333,0.70235,5006,0.01441,0.61238,0.53529,3845,0.01179,0.41971,0.38574,2775,0.00656,0.44505,0.97324,6977,0.00515,0.54981,0.93882,6673,0.00534,0.48581,0.87706,6247,0.00808,0.61524,0.84426,6050,0.00874,0.65438,0.41824,3009,0.00412,0.59514,0.89353,6363,0.00905,0.38429,0.54588,3926,0.01091,0.61143,0.65662,4685,0.00602,0.91124,0.64588,4611,0.0017,0.38743,0.83853,6026,0.00874,0.45029,0.96706,6873,0.00639,0.61314,1.0675,7100,0.00371,0.75314,0.90853,6485,0.00228,0.51752,0.43265,3100,0.00722,0.7301,0.59088,4277,0.00441,0.01441,0.07873,0.01091,0.06455
17,1.7,0.64343,1.02824,7103,0.01172,0.13057,0.59765,4214,0.00192,0.41962,0.67809,4875,0.00606,0.3599,0.64588,4553,0.00669,0.35857,0.86971,6233,0.00281,0.67286,0.70368,5006,0.01441,0.61219,0.53824,3845,0.01179,0.41886,0.38912,2774,0.00635,0.44286,0.97294,6977,0.00515,0.54886,0.94,6673,0.00534,0.48524,0.87706,6246,0.00611,0.61495,0.84691,6050,0.00874,0.65429,0.41868,3009,0.00412,0.59476,0.89529,6363,0.00905,0.3841,0.54706,3926,0.01091,0.61133,0.6575,4685,0.00602,0.91124,0.64676,4611,0.0017,0.38705,0.83985,6026,0.00874,0.44943,0.96735,6873,0.00639,0.61248,1.06632,7100,0.00371,0.75305,0.91088,6485,0.00228,0.51705,0.43324,3100,0.00722,0.73029,0.59221,4277,0.00441,0.01441,0.07537,0.01091,0.06455
18,1.8,0.64381,1.02676,7103,0.01172,0.13048,0.59765,4214,0.00192,0.4199,0.68,4875,0.00606,0.36019,0.64809,4658,0.00458,0.35876,0.87015,6233,0.00281,0.67248,0.705,5006,0.01441,0.61219,0.54118,3845,0.01179,0.418,0.39235,2774,0.00635,0.44076,0.9725,6977,0.00515,0.5479,0.94118,6673,0.00534,0.48467,0.87706,6246,0.00611,0.61467,0.84956,6050,0.00874,0.6541,0.41912,3009,0.00412,0.59438,0.89691,6363,0.00905,0.384,0.54809,3926,0.01091,0.61124,0.65838,4685,0.00602,0.91124,0.64765,4716,0.00225,0.38667,0.84103,6026,0.00874,0.44857,0.96765,6873,0.00639,0.61181,1.06515,7100,0.00371,0.75295,0.91324,6590,0.00289,0.51667,0.43382,3100,0.00722,0.73038,0.59338,4277,0.00441,0.01441,0.07326,0.01091,0.06571
19,1.9,0.64429,1.02529,7103,0.01172,0.13038,0.59779,4214,0.00192,0.42019,0.68206,4875,0.00606,0.36057,0.65015,4658,0.00458,0.35895,0.87044,6233,0.00281,0.672,0.70632,5111,0.01522,0.61209,0.54412,3950,0.01091,0.41724,0.39559,2774,0.00635,0.43876,0.97221,6977,0.00515,0.54714,0.94221,6778,0.00621,0.48419,0.87691,6246,0.00611,0.61438,0.85206,6050,0.00874,0.654,0.41941,3009,0.00412,0.594,0.89853,6468,0.00527,0.384,0.54926,3926,0.01091,0.61114,0.65941,4685,0.00602,0.91124,0.64838,4716,0.00225,0.38629,0.84221,6026,0.00874,0.4479,0.96779,6873,0.00639,0.61124,1.06397,7100,0.00371,0.75295,0.91544,6590,0.00289,0.51619,0.43456,3100,0.00722,0.73057,0.59456,4277,0.00441,0.01522,0.07406,0.01091,0.06193
20,2.0,0.64486,1.02382,7103,0.01172,0.13038,0.59794,4214,0.00192,0.42057,0.68412,4875,0.00606,0.36095,0.65235,4658,0.00458,0.35924,0.87059,6233,0.00281,0.67162,0.7075,5111,0.01522,0.61209,0.54691,3950,0.01091,0.41648,0.39897,2879,0.00563,0.43686,0.97176,6976,0.00322,0.54648,0.94324,6778,0.00621,0.48362,0.87676,6246,0.00611,0.61419,0.85441,6155,0.00895,0.6539,0.41971,3009,0.00412,0.59362,0.9,6468,0.00527,0.3839,0.55029,3926,0.01091,0.61105,0.66029,4685,0.00602,0.91124,0.64912,4716,0.00225,0.386,0.84338,6026,0.00874,0.44724,0.96794,6872,0.00868,0.61067,1.06265,7100,0.00371,0.75286,0.91765,6590,0.00289,0.51581,0.43515,3100,0.00722,0.73076,0.59588,4277,0.00441,0.01522,0.07162,0.01091,0.06422
